The Matrix | Rustamji Institute of Technology | [1, 'kan(315)']
iCode | Indian Institute of Technology Kharagpur | [1, 'amr(430)']
Infinite Loop | Indian Institute of Technology Kharagpur | [1, 'amr(387)']
Matrix_Agents | Amrita School of Engineering, Amritapuri | [1, 'amr(825)']
hurricane | Thapar University | [1, 'amr(452)']
run-time error | Netaji Subhas Institute of Technology, New Delhi | [1, 'amr(556)']
Lawliets | International Institute of Information Technology, Bangalore | [1, 'amr(750)']
ASAP | Indian Institute of Information Technology, Allahabad | [1, 'amr(257)']
Code_Cipherers | Birla Institute of Technology Mesra | [1, 'amr(328)']
codeterror | Sardar Vallabhbhai National Institute of Technology, Surat | [1, 'amr(908)']
Faux | Indian Institute of Technology Roorkee | [1, 'amr(210)']
Code_Geass | Indian Institute of Information Technology, Allahabad | [1, 'amr(115)']
game_changers | Birla Institute of Technology & Science Pilani, Pilani Campus | [1, 'kan(214)']
Blitz_krieg | Amrita School of Engineering, Amritapuri | [1, 'amr(673)']
illusion | ABV - Indian Institute of Information Technology and Management Gwalior | [1, 'amr(986)']
Bits Please! | Techno India Salt Lake | [1, 'amr(863)']
Techno4 | Pranveer Singh Institute of Technology, Kanpur | [1, 'kgp(361)']
codeX | Indian Institute of Technology, Jodhpur | [1, 'amr(736)']
code czars | Sardar Vallabhbhai National Institute of Technology, Surat | [1, 'kan(350)']
just_coders | Indian Institute of Information Technology, Allahabad | [1, 'amr(87)']
Code Chefs | Amrita School of Engineering, Coimbatore | [1, 'amr(1188)']
Fire In The Hole | Sardar Vallabhbhai National Institute of Technology, Surat | [1, 'amr(1264)']
Dr Nafario | The LNM Institute of Information Technology | [1, 'amr(690)']
JRE CODERS | JRE Group of Institutions, Greater Noida | [1, 'kgp(412)']
code paati | International Institute of Information Technology, Hyderabad | [1, 'amr(1319)']
Nighthawks | Indian Institute of Technology Bombay | [1, 'amr(1407)']
codepacers | Indian Institute of Technology Kharagpur | [1, 'kgp(148)']
CodeWizards | Indian Institute of Technology Roorkee | [1, 'amr(910)']
dash_coders | Indian Institute of Technology Bombay | [1, 'amr(334)']
yeah_u_wish | Indian Institute of Technology Kharagpur | [1, 'amr(61)']
CODERUSH | National Institute of Technology, Durgapur | [1, 'kgp(326)']
NPC | Indian Institute of Technology Kharagpur | [1, 'kgp(16)']
Quarks | International Institute of Information Technology, Hyderabad | [1, 'amr(896)']
code_wanderers | Jamia Millia Islamia | [1, 'amr(726)']
beginners | Jaypee Institute of Information Technology | [1, 'amr(848)']
teamhknkvk | National Institute of Technology, Calicut | [1, 'amr(1396)']
BIT THRASHERS | Birla Institute Of Technology, Mesra, Deoghar Campus | [1, 'kgp(347)']
QWERTIES | Amrita School of Engineering, Bengaluru | [1, 'amr(1392)']
Nimblerz | Malla Reddy College Of Engineering & Technology, Hyderabad | [1, 'amr(350)']
Trojans | International Institute of Information Technology, Hyderabad | [1, 'amr(364)']
Fanatics | Birla Institute of Technology, Patna | [1, 'amr(1439)']
tuple | Indian Institute of Technology Kharagpur | [1, 'kan(99)']
Blitzkrieg | International Institute of Information Technology, Hyderabad | [1, 'kan(298)']
D3C0D3R5 | Netaji Subhash Engineering College | [1, 'kgp(273)']
The Incompatibles | Birla Institute of Technology & Science Pilani, Pilani Campus | [1, 'amr(1216)']
HACKERS | International Institute of Information Technology, Hyderabad | [1, 'amr(935)']
VISHWAJEET | Indian Institute of Technology Indore | [1, 'amr(1036)']
fork | University Institute of Engineering and Technology, Punjab University | [1, 'kan(272)']
Arno | Delhi Technological University | [1, 'amr(517)']
mystic_knights | Indian Institute of Technology Bombay | [1, 'amr(405)']
SUST_DownToTheWire | Shahjalal University Of Science & Technology | [1, 'kan(3)']
Malloced | Bengal Engineering and Science University, Shibpur | [1, 'kan(340)']
gottimukkala_abhiram | Indian Institute of Technology Guwahati | [1, 'kan(369)']
FKR | Manipal Institute of Technology, Manipal | [1, 'amr(1191)']
TCE Coders B | Thiagarajar College of Engineering | [1, 'amr(515)']
Master Minds | National Institute of Technology, Calicut | [1, 'amr(1029)']
grayhathacker | National Institute of Technology Patna | [1, 'amr(501)']
Exceptions | National Institute of Technology, Durgapur | [1, 'kgp(299)']
ADP | Dayananda Sagar College of Engineering, Bangalore | [1, 'amr(1163)']
tdcoders | Birla Institute of Technology & Science Pilani, Pilani Campus | [1, 'kan(63)']
Inquisitive | Indian Institute of Technology Roorkee | [1, 'amr(121)']
FLASH | National Institute of Technology, Calicut | [1, 'amr(987)']
TeamPineapple | YMCA University of Science and Technology, Faridabad | [1, 'amr(225)']
Maxximal | Birla Institute of Technology & Science Pilani, Pilani Campus | [1, 'kan(30)']
Coddicted | Indian Institute of Technology, Jodhpur | [1, 'kgp(313)']
Deception | Indian Institute of Information Technology, Sri City | [1, 'amr(928)']
Shark | Dr. B. R. Ambedkar National Institute of Technology, Jalandhar | [1, 'kgp(265)']
AnandAmanRoha | Indian Institute of Technology Bombay | [1, 'amr(1165)']
Greek coders | Amrita School of Engineering, Bengaluru | [1, 'amr(1357)']
Bug Chasers | Indian Institute of Information Technology, Allahabad | [1, 'amr(450)']
A-List | Madras Institute of Technology, Anna University | [1, 'amr(1263)']
stronglyConnected | Birla Institute of Technology & Science Pilani, Pilani Campus | [1, 'kan(8)']
pioneers | Karpagam College of Engineering, Coimbatore | [1, 'amr(1026)']
C BLOSSOMS | Prasad V Potluri Siddhartha Institute of Technology | [1, 'amr(1288)']
The Bomb Squad | Sardar Vallabhbhai National Institute of Technology, Surat | [1, 'amr(1138)']
Finishers | Dhirubhai Ambani Institute of Information and Communication Technology, Gandhinagar | [1, 'amr(376)']
Eureka | Karpagam College of Engineering, Coimbatore | [1, 'amr(1317)']
Codetweaker | Birla Institute of Technology Mesra | [1, 'amr(666)']
codebuzzers | Abes Engineering college, Ghaziabad | [1, 'kan(382)']
AGNI | Hindustan University | [1, 'amr(1149)']
DeBuggers | Veermata Jijabai Technological Institute, Mumbai | [1, 'kgp(346)']
codeslayerx | Institute of Engineering and Technology, Devi Ahilya Vishwavidyalaya | [1, 'amr(571)']
The Three Musketeers | Birla Institute of Technology & Science Pilani, Pilani Campus | [1, 'amr(1438)']
Pirates Play | Jaipur Engineering College and Research Centre | [1, 'amr(652)']
Decoder | Indian Institute of Technology, Varanasi | [1, 'amr(285)']
whiledOnes | Indian Institute of Technology Kharagpur | [1, 'kgp(172)']
dumbcoders | Army Institute of Technology, Pune | [1, 'amr(531)']
theMatroids | KC College of Engineering, Thane | [1, 'amr(1144)']
coders_saa | Indian Institute of Technology Guwahati | [1, 'amr(497)']
minions | Veermata Jijabai Technological Institute, Mumbai | [1, 'amr(862)']
gladiators | Madras Institute of Technology, Anna University | [1, 'amr(1043)']
Blue Sky | National Institute Of Technology, Delhi | [1, 'kgp(379)']
hackgp | Indian Institute of Technology Kharagpur | [1, 'kgp(165)']
BEGINNERS | ABV - Indian Institute of Information Technology and Management Gwalior | [1, 'amr(1302)']
techies | B.S.Abdur Rahman University, Chennai | [1, 'amr(1415)']
The_Old_Monks | Indian Institute of Technology, Varanasi | [1, 'amr(535)']
mnit_coders | Malaviya National Institute of Technology, Jaipur | [1, 'amr(869)']
GSCODERS | Shri Govindram Seksaria Institute of Technology and Science | [1, 'kan(283)']
#Root | Amrita School of Engineering, Coimbatore | [1, 'amr(1348)']
Euler Knights | Sardar Vallabhbhai National Institute of Technology, Surat | [1, 'amr(926)']
bitsNpieces | Birla Institute of Technology & Science Pilani, Pilani Campus | [1, 'amr(518)']
vectora | Pune Institute of Computer Technology | [1, 'kan(295)']
Knight | Delhi Technological University | [1, 'amr(782)']
SVR | National Institute of Technology, Calicut | [1, 'amr(1077)']
vssut_fame3 | Veer Surendra Sai University of Technology, Orissa | [1, 'kan(462)']
skeeg | Indian Institute of Information Technology, Allahabad | [1, 'amr(678)']
dynamite | Indian Institute of Information Technology, Allahabad | [1, 'amr(1101)']
deathly hallows | Netaji Subhas Institute of Technology, New Delhi | [1, 'amr(420)']
Z-axiZ | PSG College of Technology, Coimbatore | [1, 'amr(1237)']
vssut_pride4 | Veer Surendra Sai University of Technology, Orissa | [1, 'amr(1409)']
coding bots | Thiagarajar College of Engineering | [1, 'amr(1391)']
SPD | Indian Institute of Technology Delhi | [1, 'kgp(162)']
Code worms | Jamia Millia Islamia | [1, 'amr(1016)']
Matrix | ABV - Indian Institute of Information Technology and Management Gwalior | [1, 'amr(828)']
VIKINGS | ABV - Indian Institute of Information Technology and Management Gwalior | [1, 'amr(786)']
Realistics | International Institute of Information Technology, Hyderabad | [1, 'amr(231)']
InterruptHandler | Indian Institute of Technology Delhi | [1, 'kgp(100)']
snakeslayer | Indian Institute of Information Technology, Allahabad | [1, 'amr(261)']
Hip Hop Coders | Sardar Vallabhbhai National Institute of Technology, Surat | [1, 'amr(872)']
code_fun | Birla Institute of Technology & Science Pilani, Pilani Campus | [1, 'amr(1132)']
Gamers | International Institute of Information Technology, Hyderabad | [1, 'amr(823)']
Sangam | PSG College of Technology, Coimbatore | [1, 'amr(1425)']
phoenix | Netaji Subhas Institute of Technology, New Delhi | [1, 'amr(566)']
TechNox1 | Rajiv Gandhi College Of Engg And Research, Nagpur | [1, 'amr(950)']
GreedyPhi | Sree Vidyanikethan Engineering College | [1, 'amr(1235)']
peacefulwarriors | Indian Institute of Information Technology, Allahabad | [1, 'amr(953)']
HORCRUX | Indian School of Mines | [1, 'amr(1022)']
Code Crew | College of Engineering, Guindy | [1, 'amr(883)']
gandalf | International Institute of Information Technology, Hyderabad | [1, 'amr(560)']
code crackers | Anil Neerukonda Institute of Technology and Sciences | [1, 'amr(609)']
TechiGeek | Dwarkadas Jivanlal Sanghvi College of Engineering, Vile Parle, Mumbai | [1, 'amr(790)']
JustLearning | Amrita School of Engineering, Coimbatore | [1, 'amr(1077)']
protocol | Rajiv Gandhi College Of Engg And Research, Nagpur | [1, 'kgp(401)']
ACMonster | Birla Institute of Technology Mesra | [1, 'amr(482)']
2b|!2b | Indian Institute of Information Technology, Allahabad | [1, 'kgp(21)']
god_hands | Amrita School of Engineering, Bengaluru | [1, 'amr(1212)']
SireDeCoderz | Birla Institute of Technology Mesra | [1, 'amr(1113)']
ACES | National Institute of Technology, Jamshedpur | [1, 'kan(287)']
BreakThrough | Kalyani Government Engineering College | [1, 'kgp(78)']
NiECodeBreakers | The National Institute of Engineering, Mysore | [1, 'amr(1092)']
Gamer | Delhi Technological University | [1, 'amr(1009)']
Phoenix | Karpagam College of Engineering, Coimbatore | [1, 'amr(821)']
Underdogs | Sri Sivasubramaniya Nadar College of Engineering, Chennai | [1, 'amr(722)']
codewizards | Indian Institute of Technology Bombay | [1, 'amr(1206)']
srs | Indian Institute of Technology, Jodhpur | [1, 'amr(74)']
Adroits | Vasavi College of Engineering | [1, 'amr(1187)']
NITJSRDecoders | National Institute of Technology, Jamshedpur | [1, 'amr(675)']
Protocol | Karpagam College of Engineering, Coimbatore | [1, 'amr(1196)']
SCA | Netaji Subhas Institute of Technology, New Delhi | [1, 'amr(1343)']
Bug Busters | Birla Institute of Technology & Science Pilani, Pilani Campus | [1, 'amr(960)']
avenger | Shri Govindram Seksaria Institute of Technology and Science | [1, 'kan(438)']
connectthedots | Indian Institute of Technology Delhi | [1, 'kan(476)']
finally | JSS Academy of Technical Education, Noida | [1, 'kan(456)']
Team 7 | College of Technology and Engineering, Udaipur | [1, 'amr(629)']
Commendable Coders | International Institute of Information Technology, Hyderabad | [1, 'amr(213)']
insiders | National Institute of Technology, Kurukshetra | [1, 'amr(166)']
Geek Gods | Rajeev Gandhi Memorial College of Engineering & Technology | [1, 'amr(1314)']
CarnageTLE | International Institute of Information Technology, Hyderabad | [1, 'amr(942)']
namespace | National Institute of Technology Warangal | [1, 'amr(881)']
CodeDecrypters | Indira Gandhi Institute of Technology | [1, 'kan(452)']
Blitz | Birla Institute of Technology & Science Pilani, Pilani Campus | [1, 'kan(359)']
Demolition Coders | Manipal Institute of Technology, Manipal | [1, 'amr(903)']
decepticons | Amrita School of Engineering, Coimbatore | [1, 'amr(582)']
SSTRD | National Institute of Technology, Rourkela | [1, 'kan(346)']
3Aces | Abes Engineering college, Ghaziabad | [1, 'kan(404)']
HashCode | National Institute of Technology Karnataka | [1, 'amr(1076)']
Still Coding | International Institute of Information Technology, Hyderabad | [1, 'amr(466)']
TrichyBlasters | National Institute of Technology Tiruchirappalli | [1, 'amr(969)']
Leafblade | M. S. Ramaiah Institute of Technology, Bengaluru | [1, 'amr(249)']
PHOENIX | School of Engineering, Cochin University of Science and Technology | [1, 'amr(940)']
The Sempiternals | Indian Institute of Information Technology, Allahabad | [1, 'amr(462)']
ROYALBENGAL | Bengal Engineering and Science University, Shibpur | [1, 'kgp(171)']
PNP | Indian Institute of Technology Kharagpur | [1, 'amr(38)']
GirlCoders | Manipal Institute of Technology, Manipal | [1, 'kan(472)']
OGLA | Indian Institute of Technology Kharagpur | [1, 'amr(279)']
E-LEMONATORS | Indian Institute of Technology, Varanasi | [1, 'kan(390)']
_i9_ | Birla Institute of Technology Mesra | [1, 'kan(180)']
Event Horizon | Birla Institute of Technology & Science Pilani, Pilani Campus | [1, 'amr(1030)']
TeamWow | Malaviya National Institute of Technology, Jaipur | [1, 'kan(305)']
CODERS34 | Birla Institute of Technology & Science Pilani, Pilani Campus | [1, 'amr(1152)']
CODESOFT | Karpagam College of Engineering, Coimbatore | [1, 'amr(1118)']
Smokin'Aces1 | International Institute of Information Technology, Hyderabad | [1, 'amr(1041)']
strongly_Connected | Birla Institute of Technology & Science Pilani, Pilani Campus | [1, 'amr(10)']
Invaderz | Karpagam College of Engineering, Coimbatore | [1, 'amr(1087)']
youknowwho | Amrita School of Engineering, Coimbatore | [1, 'amr(555)']
Let us C | National Institute of Technology Tiruchirappalli | [1, 'amr(1194)']
Limitless_03 | Indian Institute of Information Technology, Allahabad | [1, 'amr(105)']
Scintillators | Sri Venkateswara College of Engineering | [1, 'amr(1220)']
vssut_pride6 | Veer Surendra Sai University of Technology, Orissa | [1, 'amr(1311)']
phychocoders | Delhi Technological University | [1, 'amr(481)']
The Trident | Netaji Subhas Institute of Technology, New Delhi | [1, 'amr(1181)']
polymorphic | National Institute of Technology Warangal | [1, 'amr(444)']
Coder bros | Amrita School of Engineering, Amritapuri | [1, 'amr(1257)']
alliance | Indian Institute of Technology Kharagpur | [1, 'amr(549)']
Incredibles | Sardar Vallabhbhai National Institute of Technology, Surat | [1, 'amr(1243)']
optimizers | Amrita University | [1, 'amr(1167)']
Encoder | Indian Institute of Technology Guwahati | [1, 'amr(1050)']
3_eyed_raven | Indian Institute of Information Technology, Allahabad | [1, 'amr(168)']
iTeam | Vasavi College of Engineering | [1, 'amr(1408)']
digiTitans | Amrita School of Engineering, Coimbatore | [1, 'amr(1090)']
algoholics | The LNM Institute of Information Technology | [1, 'amr(766)']
Resilient | International Institute of Information Technology, Bhubaneswar | [1, 'kgp(353)']
Statutory Warning | International Institute of Information Technology, Hyderabad | [1, 'amr(948)']
Codeception | Birla Institute of Technology & Science Pilani, Pilani Campus | [1, 'amr(236)']
rrdexter | ABV - Indian Institute of Information Technology and Management Gwalior | [1, 'kgp(210)']
Nittintel | National Institute of Technology Tiruchirappalli | [1, 'kan(232)']
TECKZ | Karpagam College of Engineering, Coimbatore | [1, 'amr(1286)']
Gamecoders | International Institute of Information Technology, Hyderabad | [1, 'amr(1125)']
Crazy++ | Birla Institute of Technology & Science Pilani, Pilani Campus | [1, 'amr(1086)']
IOSTREAMERS | Madras Institute of Technology, Anna University | [1, 'amr(716)']
Beginners | Amrita School of Engineering, Coimbatore | [1, 'amr(929)']
stackdemons | Indian Institute of Technology Patna | [1, 'kan(285)']
GreedyCoders | Indian Institute of Technology Mandi | [1, 'kan(414)']
Code_Freakers | Indian Institute of Information Technology, Allahabad | [1, 'amr(141)']
Avinza | Indian Institute of Information Technology, Allahabad | [1, 'amr(885)']
dsd_programmers | Veermata Jijabai Technological Institute, Mumbai | [1, 'amr(1294)']
Free_Time_Coders | Amrita School of Engineering, Amritapuri | [1, 'amr(1019)']
YAP | Amrita School of Engineering, Coimbatore | [1, 'amr(1324)']
Gauranga | Deenbandhu Chhotu Ram University of Science and Technology, Murthal | [1, 'kan(400)']
The_Forbidden | Visvesvaraya National Institute of Technology, Nagpur | [1, 'amr(303)']
Udai | Indian Institute of Technology Delhi | [1, 'kgp(232)']
The Illuminati | Indian Institute of Technology Roorkee | [1, 'amr(1007)']
Nocturnals | Indian Institute of Technology Delhi | [1, 'kan(109)']
Code Breakers 101 | Amrita School of Engineering, Coimbatore | [1, 'amr(1387)']
Codaholics | International Institute of Information Technology, Hyderabad | [1, 'amr(320)']
STHRD | National Institute of Technology, Rourkela | [1, 'amr(1114)']
BSoD | Sardar Vallabhbhai National Institute of Technology, Surat | [1, 'amr(1148)']
Hangover | Indian Institute of Information Technology, Allahabad | [1, 'amr(156)']
Anyama | Pune Institute of Computer Technology | [1, 'kan(306)']
C Warriors | Rajeev Gandhi Memorial College of Engineering & Technology | [1, 'amr(1437)']
C techies | Amrita School of Engineering, Coimbatore | [1, 'amr(1422)']
NotSoSerious | International Institute of Information Technology, Hyderabad | [1, 'amr(924)']
CRACKERS | Prasad V Potluri Siddhartha Institute of Technology | [1, 'amr(1318)']
landhucoderz | College of Engineering, Guindy | [1, 'amr(649)']
STH | Netaji Subhas Institute of Technology, New Delhi | [1, 'amr(830)']
Gsm_dsa | Veermata Jijabai Technological Institute, Mumbai | [1, 'amr(1436)']
Coding the uncoded | Karpagam College of Engineering, Coimbatore | [1, 'amr(1312)']
Geeky coders | Dhirubhai Ambani Institute of Information and Communication Technology, Gandhinagar | [1, 'amr(589)']
011Coders | Indian Institute of Information Technology, Allahabad | [1, 'kgp(23)']
ProjectD | Birla Institute of Technology & Science Pilani, Pilani Campus | [1, 'kan(455)']
Lunatics | International Institute of Information Technology, Bangalore | [1, 'kan(355)']
DE_CODERS | Vellore Institute of Technology, Vellore | [1, 'amr(1282)']
thetriads | Indian Institute of Technology Bombay | [1, 'amr(90)']
divergence | Kamla Nehru Institute of Technology, Sultanpur, India | [1, 'kan(319)']
Algorithmists | National Institute of Technology Warangal | [1, 'amr(653)']
Legendre | Indian Institute of Technology Madras | [1, 'amr(401)']
ABAPERS | Rajeev Gandhi Memorial College of Engineering & Technology | [1, 'amr(1258)']
CodeHackers | The LNM Institute of Information Technology | [1, 'amr(468)']
#include_007.h | Indian Institute of Information Technology, Allahabad | [1, 'amr(142)']
Code Gurus | National Institute of Technology Tiruchirappalli | [1, 'amr(1123)']
Greedy_Coders | Birla Institute of Technology & Science Pilani, Goa Campus | [1, 'amr(1052)']
Digiminds | National Institute of Technology Tiruchirappalli | [1, 'kan(422)']
Igniterz | College of Engineering, Trivandrum | [1, 'amr(1057)']
Blitzkrieg2 | International Institute of Information Technology, Hyderabad | [1, 'amr(486)']
int_elligents | Netaji Subhas Institute of Technology, New Delhi | [1, 'amr(381)']
Gvpsteppers | Gayatri Vidya Parishad School of Engineering | [1, 'amr(1154)']
Pirates Tech | Karpagam College of Engineering, Coimbatore | [1, 'amr(1431)']
AAJ CODERS | Veermata Jijabai Technological Institute, Mumbai | [1, 'amr(1428)']
UltimateCoders | Veermata Jijabai Technological Institute, Mumbai | [1, 'kgp(420)']
Code_Assasins | Indian Institute of Information Technology, Allahabad | [1, 'amr(429)']
CODE PANTHERS | Indian School of Mines | [1, 'kgp(207)']
earlyMen | International Institute of Information Technology, Hyderabad | [1, 'amr(65)']
vssut_fame1 | Veer Surendra Sai University of Technology, Orissa | [1, 'kan(149)']
deadshot | Delhi Technological University | [1, 'amr(129)']
maniACs | Dhirubhai Ambani Institute of Information and Communication Technology, Gandhinagar | [1, 'amr(735)']
Ninja Coders | Delhi Technological University | [1, 'amr(930)']
aam acm party | Indian Institute of Technology Roorkee | [1, 'amr(943)']
Xephyr | Indian Institute of Technology Bombay | [1, 'amr(380)']
gullycoders | Indian Institute of Technology Madras | [1, 'kan(342)']
peretech | Pune Institute of Computer Technology | [1, 'kan(423)']
Algorithm | Motilal Nehru National Institute of Technology Allahabad | [1, 'amr(224)']
code_gamers | Maulana Azad National Institute of Technology, Bhopal | [1, 'kgp(203)']
lazyPropagation | Birla Institute of Technology & Science Pilani, Pilani Campus | [1, 'kan(186)']
connectify_Qwerty | National Institute of Technology, Durgapur | [1, 'kgp(119)']
pattycoders | Birla Institute of Technology & Science Pilani, Pilani Campus | [1, 'amr(1152)']
transnpn@1 | Thapar University | [1, 'amr(832)']
CODE BLOODEDS | Karpagam College of Engineering, Coimbatore | [1, 'amr(1375)']
lola | International Institute of Information Technology, Hyderabad | [1, 'kan(430)']
Coding Aficionados | Veermata Jijabai Technological Institute, Mumbai | [1, 'amr(1133)']
haltandcatchfire | Sikkim Manipal Institute of Technology | [1, 'kan(245)']
joeycodees | Indian Institute of Technology, Varanasi | [1, 'amr(437)']
Night Fury | Indian Institute of Technology Indore | [1, 'amr(107)']
Tornadocode | Amrita University | [1, 'amr(1262)']
Maestro | Karpagam College of Engineering, Coimbatore | [1, 'amr(725)']
LIFO | PSG College of Technology, Coimbatore | [1, 'amr(1338)']
QuantumCiphers | National Institute of Technology, Calicut | [1, 'amr(379)']
MPCoders | Manipal Institute of Technology, Manipal | [1, 'amr(1236)']
NPAwesome | Indian Institute of Technology Kharagpur | [1, 'kgp(123)']
byte-me | International Institute of Information Technology, Hyderabad | [1, 'amr(248)']
Gnome coders | SASTRA University | [1, 'amr(524)']
DKML | Indian Institute of Technology Guwahati | [1, 'amr(580)']
DBFBDB | Indian Institute of Technology Kanpur | [1, 'kan(277)']
KillTheBug | Delhi Technological University | [1, 'amr(208)']
Paradox | International Institute of Information Technology, Hyderabad | [1, 'amr(533)']
Royals | ABV - Indian Institute of Information Technology and Management Gwalior | [1, 'amr(1171)']
69lovers | Indian Institute of Information Technology, Allahabad | [1, 'amr(86)']
codehounds | IEC College of Engineering and Technology, Greater Noida | [1, 'kgp(248)']
Hacksters | Birla Institute of Technology & Science Pilani, Hyderabad Campus | [1, 'amr(1366)']
Coders@Sre | Birla Institute of Technology & Science Pilani, Pilani Campus | [1, 'amr(1099)']
Blooming Stars | Amrita School of Engineering, Coimbatore | [1, 'amr(1421)']
zen | Thapar University | [1, 'kan(296)']
Inferno | Indian Institute of Information Technology, Allahabad | [1, 'amr(188)']
murakh | Amrita School of Engineering, Coimbatore | [1, 'amr(1115)']
OneByZero | International Institute of Information Technology, Hyderabad | [1, 'amr(394)']
CodeBros | Indian Institute of Technology Ropar | [1, 'kgp(342)']
CODOPEDIAC | Birla Institute of Technology Mesra | [1, 'amr(294)']
Ultimatum | Dwarkadas Jivanlal Sanghvi College of Engineering, Vile Parle, Mumbai | [1, 'kgp(392)']
Blackcoders | Chandubhai S Patel Institute of Technology, Gujarat | [1, 'amr(1441)']
prof_snapes_3 | Jaypee University of Engineering and Technology, Guna | [1, 'amr(1362)']
bytecoders | Amrita School of Engineering, Coimbatore | [1, 'amr(1064)']
Techno - freak | Sardar Vallabhbhai National Institute of Technology, Surat | [1, 'amr(1380)']
Cogent Force | National Institute of Technology Raipur | [1, 'amr(1222)']
avialtree | Birla Institute of Technology & Science Pilani, Goa Campus | [1, 'amr(1051)']
Space Cows | SASTRA University | [1, 'amr(603)']
ShellShock | Jaypee University of Engineering and Technology, Guna | [1, 'kgp(275)']
sudocode | Dhirubhai Ambani Institute of Information and Communication Technology, Gandhinagar | [1, 'amr(577)']
Code Master | Park College of Engineering and Technology, Kaniyur | [1, 'amr(1054)']
Googlercy | Rajalakshmi Institute of Technology, Tamil Nadu | [1, 'amr(966)']
AKR Trio | Birla Institute of Technology & Science Pilani, Pilani Campus | [1, 'amr(1119)']
VJS | Birla Institute of Technology & Science Pilani, Pilani Campus | [1, 'amr(647)']
dmn_algo | Motilal Nehru National Institute of Technology Allahabad | [1, 'amr(218)']
codestars | Vellore Institute of Technology, Vellore | [1, 'amr(1056)']
Zeno | Vellore Institute of Technology, Vellore | [1, 'amr(1285)']
VITCCJM1 | VIT University, Chennai | [1, 'amr(1290)']
Expandables | Indian Institute of Technology, Hyderabad | [1, 'amr(304)']
The invincibles | Sri Shakthi Institute of Engineering and Technology | [1, 'amr(860)']
Runtime Error | Birla Institute of Technology & Science Pilani, Pilani Campus | [1, 'amr(1266)']
Sind | International Institute of Information Technology, Hyderabad | [1, 'amr(282)']
Great Heights | Indian Institute of Technology Kharagpur | [1, 'kgp(193)']
Agents_of_Chaos | College of Engineering, Guindy | [1, 'amr(857)']
Decoderz | PSG College of Technology, Coimbatore | [1, 'amr(1367)']
JaffaCoders | International Institute of Information Technology, Hyderabad | [1, 'amr(1067)']
return_true | Jamia Millia Islamia | [1, 'kan(178)']
nuculear coders | Chandubhai S Patel Institute of Technology, Gujarat | [1, 'kan(447)']
Connectify_Qwerty | National Institute of Technology, Durgapur | [1, 'amr(1238)']
Novice Three | Vasavi College of Engineering | [1, 'amr(811)']
newcoders | Delhi Technological University | [1, 'amr(1004)']
cloud9 | Birla Institute of Technology Mesra | [1, 'kan(398)']
fireCodes | International Institute of Information Technology, Hyderabad | [1, 'amr(438)']
ENIGMA | Rashtreeya Vidyalaya College of Engineering, Bangalore | [1, 'amr(740)']
countergambit | National Institute of Technology Tiruchirappalli | [1, 'amr(145)']
NULL TERMINATOR | Delhi Technological University | [1, 'amr(1250)']
code warriors | Thiagarajar College of Engineering | [1, 'amr(1399)']
SPARTA | National Institute of Technology, Calicut | [1, 'amr(1098)']
Amateurs1 | International Institute of Information Technology, Hyderabad | [1, 'amr(97)']
codex | Birla Institute of Technology Mesra | [1, 'amr(1170)']
rdexter | ABV - Indian Institute of Information Technology and Management Gwalior | [1, 'amr(1008)']
codesprinters | Indian Institute of Technology, Varanasi | [1, 'amr(634)']
leCoders | National Institute of Technology Raipur | [1, 'amr(586)']
1_invincibles | Chaitanya Bharathi Institute of Technology | [1, 'amr(584)']
Tricoders1994plus | Netaji Subhas Institute of Technology, New Delhi | [1, 'amr(1108)']
LetStrie | Birla Institute of Technology Mesra | [1, 'amr(665)']
FireFreezers | International Institute of Information Technology, Hyderabad | [1, 'amr(1321)']
codeCupids | Shri Mata Vaishno Devi University | [1, 'kan(304)']
Satan | JSS Academy of Technical Education, Noida | [1, 'kan(154)']
Killer_rrm | National Institute of Technology, Jamshedpur | [1, 'amr(696)']
E-201 | International Institute of Information Technology, Bangalore | [1, 'amr(689)']
codebreakers | Delhi Technological University | [1, 'amr(810)']
turtles | Birla Institute of Technology Mesra | [1, 'kgp(88)']
barney | Indian Institute of Information Technology, Allahabad | [1, 'amr(383)']
codelego | Birla Institute of Technology Mesra | [1, 'amr(807)']
O(N^N) | Indian Institute of Technology, Varanasi | [1, 'kgp(282)']
Wake Up N' Code | Madras Institute of Technology, Anna University | [1, 'amr(1063)']
import | Rajiv Gandhi College Of Engg And Research, Nagpur | [1, 'amr(1074)']
Acecoderz | Birla Institute of Technology & Science Pilani, Pilani Campus | [1, 'amr(1277)']
cs101 | Birla Institute of Technology & Science Pilani, Pilani Campus | [1, 'amr(1156)']
redclaytons | Indian Institute of Information Technology, Allahabad | [1, 'amr(1106)']
DayDreamers | Ambedkar Institute of Advanced Communication Technology & Research | [1, 'kan(205)']
RandomBits | Veermata Jijabai Technological Institute, Mumbai | [1, 'amr(446)']
Dynamic-trio | Indian Institute of Information Technology, Allahabad | [1, 'amr(64)']
BruteCoders | Indian Institute of Technology Mandi | [1, 'kan(311)']
CtrlShiftN | International Institute of Information Technology, Hyderabad | [1, 'kan(440)']
ed_edd_eddy | Birla Institute of Technology Mesra | [1, 'amr(375)']
bond_james | Malaviya National Institute of Technology, Jaipur | [1, 'kan(370)']
Algofier | The LNM Institute of Information Technology | [1, 'amr(638)']
