The Matrix | Rustamji Institute of Technology | [1, 'kan(315)']
bugplay | Institute of Engineering and Technology, Devi Ahilya Vishwavidyalaya | [1, 'kan(375)']
Coders-Reloaded | Indian Institute of Information Technology, Allahabad | [1, 'amr(102)']
OpCoders | Indian Institute of Technology Bombay | [1, 'amr(244)']
steerahead | National Institute of Technology Patna | [1, 'kan(473)']
noobians | SASTRA University | [1, 'kan(221)']
mapreduce | Amrita School of Engineering, Coimbatore | [1, 'amr(627)']
coddicted | Dwarkadas Jivanlal Sanghvi College of Engineering, Vile Parle, Mumbai | [1, 'kgp(405)']
ReCurse | National Institute of Technology, Durgapur | [1, 'kgp(278)']
Whatte wow | SASTRA University | [1, 'amr(418)']
Heuristic-2-Mystic | International Institute of Information Technology, Bangalore | [1, 'amr(398)']
Code Geass | Indian Institute of Technology Patna | [1, 'kgp(81)']
CSS | National Institute of Technology, Calicut | [1, 'amr(855)']
Fennec | Thapar University | [1, 'kan(442)']
Placeholder | Indian Institute of Technology Bombay | [1, 'amr(138)']
The_fuzz | Delhi Technological University | [1, 'amr(716)']
strike_team | National Institute of Technology Raipur | [1, 'kgp(351)']
BullsEye | Amrita School of Engineering, Amritapuri | [1, 'amr(781)']
CRACKER | National Institute of Technology Warangal | [1, 'amr(421)']
return 0; | Sri Shakthi Institute of Engineering and Technology | [1, 'amr(1337)']
Thirdies | National Institute of Technology Karnataka | [1, 'amr(978)']
kombatians | ABV - Indian Institute of Information Technology and Management Gwalior | [1, 'amr(1190)']
bytebros | Jadavpur University | [1, 'kan(334)']
Lazy coders | National Institute of Technology Tiruchirappalli | [1, 'amr(1370)']
Just Coders | International Institute of Information Technology, Bangalore | [1, 'amr(1299)']
logic_ZERO1 | IMS Engineering College, Ghaziabad, Delhi NCR | [1, 'amr(416)']
Trinary | Madras Institute of Technology, Anna University | [1, 'amr(892)']
Destructors | Amrita School of Engineering, Bengaluru | [1, 'amr(1435)']
XeQt | Institute of Engineering & Management, Kolkata | [1, 'kan(450)']
CodeKeepers | Indian Institute of Technology Kharagpur | [1, 'amr(332)']
code busters | Sardar Vallabhbhai National Institute of Technology, Surat | [1, 'amr(1331)']
NITR Black Coder1 | National Institute of Technology, Rourkela | [1, 'kan(297)']
Cloud9 | Birla Institute of Technology Mesra | [1, 'amr(674)']
jcoder | Jamia Millia Islamia | [1, 'amr(853)']
Infinitude | Indian Institute of Technology Mandi | [1, 'kan(459)']
23 | Delhi Technological University | [1, 'amr(354)']
Codevas | National Institute of Technology Karnataka | [1, 'amr(404)']
lambda | International Institute of Information Technology, Hyderabad | [1, 'amr(298)']
The Flying Dutchman | Amrita School of Engineering, Bengaluru | [1, 'amr(1150)']
MysticGeeks | Rashtreeya Vidyalaya College of Engineering, Bangalore | [1, 'amr(1232)']
bitsplease | SASTRA University | [1, 'amr(849)']
its_time | Vellore Institute of Technology, Vellore | [1, 'amr(73)']
vssut_pride3 | Veer Surendra Sai University of Technology, Orissa | [1, 'amr(1156)']
invicto | Jaypee Institute of Information Technology | [1, 'kgp(174)']
CodeMasters | Institute of Engineering and Technology, Devi Ahilya Vishwavidyalaya | [1, 'amr(581)']
FalCons | Indian Institute of Technology, Varanasi | [1, 'amr(382)']
sizzlers | Indian Institute of Information Technology, Allahabad | [1, 'amr(752)']
logic_breakers | Chaitanya Bharathi Institute of Technology | [1, 'amr(959)']
Brogrammers | Sri Sivasubramaniya Nadar College of Engineering, Chennai | [1, 'amr(1316)']
Revo Coder | Techno India Salt Lake | [1, 'amr(952)']
MATRIX | Maulana Azad National Institute of Technology, Bhopal | [1, 'amr(499)']
apple_pickers | Birla Institute of Technology Mesra | [1, 'amr(1361)']
pointers | Indian Institute of Technology Kharagpur | [1, 'kgp(374)']
UniRank | Indian Institute of Technology Guwahati | [1, 'kgp(28)']
codefreek | International Institute of Information Technology, Hyderabad | [1, 'amr(1160)']
vssut_pride2 | Veer Surendra Sai University of Technology, Orissa | [1, 'amr(1295)']
JMS | National Institute of Technology, Jamshedpur | [1, 'amr(1296)']
Team-nullpointers | International Institute of Information Technology, Bangalore | [1, 'amr(919)']
null_pointerz | Dehradun Institute of Technology | [1, 'kan(119)']
InfiniteLoop | Dhirubhai Ambani Institute of Information and Communication Technology, Gandhinagar | [1, 'amr(601)']
Lambda Warriors | Indian Institute of Technology Bombay | [1, 'amr(1332)']
CakePalm | Amrita School of Engineering, Bengaluru | [1, 'amr(1280)']
DarthVader17 | Indian Institute of Technology Roorkee | [1, 'amr(623)']
darkknight | Birla Institute of Technology, Patna | [1, 'kgp(382)']
GBPS | College of Engineering, Guindy | [1, 'amr(742)']
dei_coders | Dayalbagh Educational Institute | [1, 'amr(1326)']
COrrect | The LNM Institute of Information Technology | [1, 'kan(185)']
power | Bengal Engineering and Science University, Shibpur | [1, 'kgp(89)']
params | International Institute of Information Technology, Hyderabad | [1, 'amr(694)']
MathGeeks | Indian Institute of Technology Madras | [1, 'amr(993)']
./a.out | Birla Institute of Technology & Science Pilani, Pilani Campus | [1, 'amr(884)']
CodeSlayerX | Institute of Engineering and Technology, Devi Ahilya Vishwavidyalaya | [1, 'kgp(74)']
Thunder Guys | Amrita School of Engineering, Coimbatore | [1, 'amr(1336)']
growing graph | Karpagam College of Engineering, Coimbatore | [1, 'amr(514)']
shabbo | Delhi Technological University | [1, 'amr(687)']
dx93 | Indian Institute of Technology Guwahati | [1, 'amr(818)']
MITAVS | Manipal Institute of Technology, Manipal | [1, 'amr(1217)']
ingenious idiotz | Karpagam College of Engineering, Coimbatore | [1, 'amr(1355)']
Teamerino Tinkerino | The LNM Institute of Information Technology | [1, 'amr(957)']
exit0 | The LNM Institute of Information Technology | [1, 'amr(1199)']
Champcoders | Indian Institute of Technology Guwahati | [1, 'amr(1289)']
hyperbolicTan | Indian Institute of Technology Delhi | [1, 'kgp(41)']
CodeDwellers | Bharati Vidyapeeth College of Engineering, Delhi | [1, 'kgp(327)']
unirank | Indian Institute of Technology Guwahati | [1, 'amr(202)']
comfortably_numb | Indian Institute of Technology, Varanasi | [1, 'kan(211)']
Strangers | Indian Institute of Technology Bombay | [1, 'amr(251)']
marines | Indian Institute of Technology Bombay | [1, 'amr(532)']
team7 | International Institute of Information Technology, Hyderabad | [1, 'amr(154)']
duals_t | International Institute of Information Technology, Hyderabad | [1, 'amr(1001)']
timewin | Jamia Millia Islamia | [1, 'amr(1254)']
Nakama | National Institute of Technology, Calicut | [1, 'amr(1420)']
Blue Coders | Pranveer Singh Institute of Technology, Kanpur | [1, 'kgp(400)']
Ritchie | JK Institute of Applied Physics and Technology,University of Allahabad | [1, 'kgp(418)']
ViralCoders | Harcourt Butler Technological Institute, Kanpur | [1, 'amr(816)']
team rocket | Netaji Subhas Institute of Technology, New Delhi | [1, 'amr(431)']
HACKERS RELOADED | National Institute of Technology, Calicut | [1, 'amr(1400)']
Code.ASCII | Amrita School of Engineering, Coimbatore | [1, 'amr(1147)']
Attackers | ABV - Indian Institute of Information Technology and Management Gwalior | [1, 'amr(147)']
SIGKILL | Birla Institute of Technology & Science Pilani, Pilani Campus | [1, 'amr(688)']
Mangalyaan | The LNM Institute of Information Technology | [1, 'kgp(288)']
Oathkeepers | National Institute of Technology, Jamshedpur | [1, 'amr(464)']
code_masters2014 | Indian Institute of Technology, Varanasi | [1, 'kan(190)']
Code_Trial | National Institute of Technology, Calicut | [1, 'amr(1006)']
itillusion | Velammal College of Engineering and Technology | [1, 'amr(1215)']
Project++ | International Institute of Information Technology, Hyderabad | [1, 'kan(399)']
Kaspers | PSG College of Technology, Coimbatore | [1, 'amr(1297)']
